,"2,150 {{lst|Total Core}}",83,71,"2,900 {{lst|Total Eligible}}",
1162 (2011),"2,000 {{lst|Total Core}}",1056,563,"7,500 {{lst|Total Eligible}}",
1921 (2019),"1,900 {{lst|Total Core}}",3462,2000,"4,500 {{lst|Total Eligible}}",
,"1,900 {{lst|Total Core}}",110,72,"3,500 {{lst|Total Eligible}}",
536 (2011),"1,700 {{lst|Total Core}}",854,585,"3,500 {{lst|Total Eligible}}",
"1,417 (2014)","1,600 {{lst|Total Core}}",2231,1154,"8,700 {{lst|Total Eligible}}",
"1,921 (2016)","2,600 {{lst|Total Core}}",1458,750,"7,000 {{lst|Total Eligible}}",
,"1,500 {{lst|Total Core}}",882,588,"3,000 {{lst|Total Eligible}}",
578 (2011),"1,400 {{lst|Total Core}}",500,300,"3,500 {{lst|Total Eligible}}",
"1,093 (2017)","1,300 {{lst|Total Core}}",400,291,"2,200 {{lst|Total Eligible}}",
809 (2019),"1,300 {{lst|Total Core}}",472,283,"2,500 {{lst|Total Eligible}}",
,"1,050 {{lst|Total Core}}",122,104,"1,400 {{lst|Total Eligible}}",
,"1,000 {{lst|Total Core}}",13,9,"1,600 {{lst|Total Eligible}}",
"1,100 (2002)","1,000 {{lst|Total Core}}",279,191,"1,900 {{lst|Total Eligible}}",
,900 {{lst|Total Core}},107,71,"1,800 {{lst|Total Eligible}}",
,900 {{lst|Total Core}},246,175,"1,400 {{lst|Total Eligible}}",
,600 {{lst|Total Core}},71,48,"1,200 {{lst|Total Eligible}}",
763 (2012),600 {{lst|Total Core}},25714,20000,900 {{lst|Total Eligible}},
,600 {{lst|Total Core}},2000,1333,"1,200 {{lst|Total Eligible}}",
"3,061 (2011)",600 {{lst|Total Core}},117,78,"1,200 {{lst|Total Eligible}}",
,500 {{lst|Total Core}},90,63,"1,000 {{lst|Total Eligible}}",
262 (2013),500 {{lst|Total Core}},343,229,"1,200 {{lst|Total Eligible}}",
,500 {{lst|Total Core}},177,88,"2,000 {{lst|Total Eligible}}",
,400 {{lst|Total Core}},7619,5714,800 {{lst|Total Eligible}},
455 (2018),400 {{lst|Total Core}},242,113,"1,500 {{lst|Total Eligible}}",
191 (2010),300 {{lst|Total Core}},2000,1250,800 {{lst|Total Eligible}},
,300 {{lst|Total Core}},18,10,900 {{lst|Total Eligible}},
,300 {{lst|Total Core}},2469,1543,800 {{lst|Total Eligible}},
506 (2011),200 {{lst|Total Core}},172,103,500 {{lst|Total Eligible}},
181 (2012),200 {{lst|Total Core}},1333,667,800 {{lst|Total Eligible}},
,200 {{lst|Total Core}},8,5,500 {{lst|Total Eligible}},
"1,537 (1995)",200 {{lst|Total Core}},138,69,800 {{lst|Total Eligible}},
,200 {{lst|Total Core}},60,36,"1,000 {{lst|Total Eligible}}",
127 (2011),100 {{lst|Total Core}},233,100,700 {{lst|Total Eligible}},
135 (2010),100 {{lst|Total Core}},6557,3279,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},174,87,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},5,2,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},333,167,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},37,19,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},4,2,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},63,31,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},24,5,"2,500 {{lst|Total Eligible}}",
,100 {{lst|Total Core}},2,1,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},1000,500,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},160,80,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},2,1,400 {{lst|Total Eligible}},
53 (2002),100 {{lst|Total Core}},190,95,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},16,8,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},4,2,400 {{lst|Total Eligible}},
99 (2001),100 {{lst|Total Core}},190,95,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},8,4,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},22,11,400 {{lst|Total Eligible}},
,100 {{lst|Total Core}},17,8,400 {{lst|Total Eligible}},
"7,189 (2014)",,,,,
354 (2010),,,,,
199 (2005),,,,,
103 (2011),,,,,
43 (2011),,,,,
38 (2010),,,,,
16 (2001),,,,,
12 (2011),,,,,
12 (2003),,,,,
11 (2010),,,,,
26 (2000),,,,,
1 (2006),,,,,
